No,Jenis Ikan,Mata,Sisik,Daging,Status
1,Ekor Kuning,Jernih,Mengkilap,Merah segar,Layak
2,Kembung,Buram,Pudar,coklat,Tidak Layak
3,Tongkol,Jernih,Mengkilap,Merah segar,Layak
4,Tuna,Jernih,Mengkilap,Merah segar,Layak
5,Nila,Buram,Pudar,coklat,Tidak Layak
6,Gurameh,Buram,Pudar,coklat,Tidak Layak
7,Belanak,Buram,Pudar,coklat,Tidak Layak
8,Sarden,Jernih,Mengkilap,Merah segar,Layak
9,Lele,Jernih,Mengkilap,Merah segar,Layak
10,Cucut,Jernih,Mengkilap,Merah segar,Layak
11,Kakap merah,Buram,Pudar,coklat,Tidak Layak
12,Kakap Putih,Buram,Pudar,coklat,Tidak Layak
13,Cakalang,Jernih,Mengkilap,Merah segar,Layak
14,Bawal Laut,Jernih,Mengkilap,Merah segar,Layak
15,Bawal Tawar,Buram,Pudar,coklat,Tidak Layak
